run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_rss_mb_peak,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
pgbouncer-prod-20260530-175057,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.1970285134006193,2.1970285134006193,3.2804137527933332,5.477442266193953,5.3150820804539,7422,2977,4445,0.5988951765022905,SQLTransientConnectionException:4445,25706.495000000003,60030.975,60030.975,64782.335,5.85,9.76,136.93,253.23,161.77191721132897,50941.64,38109.04015250545,0.2003005009017033,56.19,259.2803005009017,50997.83,pgBouncer G,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-175057,summary_json_median,,,,,
pgbouncer-prod-20260530-193028,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.574148974175287,2.574148974175287,2.9187953575578414,5.492944331733129,5.315086002994752,7443,3488,3955,0.5313717586994492,SQLTransientConnectionException:3955,25280.511,60030.975,60030.975,66240.511,5.85,10.75,93.10999999999999,242.56,161.43280777537794,49231.21,37285.4188336933,0.20035072666651613,56.56999999999999,248.61035072666652,49287.78,pgBouncer H,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-193028,summary_json_median,,,,,
pgbouncer-prod-20260530-211006,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.275995465367242,2.275995465367242,3.2132568453187,5.489252310685941,5.315084041722878,7438,3084,4354,0.5853724119386932,SQLTransientConnectionException:4354,27025.407,60030.975,60030.975,65208.319,3.91,8.8,101.78000000000002,258.03,162.58274336283185,50872.23,37811.64373893805,0.2503254381071106,56.3,262.1903254381071,50928.530000000006,pgBouncer I,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-211006,summary_json_median,,,,,
pgbouncer-prod-20260530-225008,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,4,True,2.2863257795278127,2.2863257795278127,3.1881624632013215,5.474488242729134,5.315080119187816,7418,3098,4320,0.5823672148827177,SQLTransientConnectionException:4320,26869.759,60030.975,60030.975,65388.543000000005,5.859999999999999,10.75,208.77,239.68,162.50008771929825,51526.67,39491.76524122807,0.2003005009017033,56.519999999999996,245.7403005009017,51583.189999999995,pgBouncer J,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260530-225008,summary_json_median,,,,,
pgbouncer-prod-20260531-003012,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,8,True,2.386693950992,2.386693950992,8.608038569382558,10.994732520374557,10.627946236932104,14898,3234,11664,0.7829238824003222,SQLTransientConnectionException:11664,28712.959000000003,60030.975,60030.975,61063.167,6.84,10.75,104.36999999999999,282.76,177.1450900900901,49000.27,39428.41452702703,0.3001501501501501,56.59,289.9001501501501,49056.85999999999,pgBouncer K,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-003012,summary_json_median,,,,,
pgbouncer-prod-20260531-021001,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,8,True,2.278207884616227,2.278207884616227,8.717262636602602,10.99547052121883,10.628684237231731,14899,3087,11812,0.7928048862339754,SQLTransientConnectionException:11812,28655.615,60030.975,60030.975,66060.28700000001,5.85,10.75,98.04999999999998,240.45,172.67789115646258,48503.91,38603.29530612245,0.3002253380070105,56.35,246.600225338007,48560.26,pgBouncer L,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-021001,summary_json_median,,,,,
pgbouncer-prod-20260531-035013,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,8,True,2.3866937669020425,2.3866937669020425,8.607300754262177,10.993994521164218,10.628684237231731,14897,3234,11663,0.7829093105994496,SQLTransientConnectionException:11663,28770.303,60030.975,60030.975,61554.687,7.79,10.739999999999998,236.12,247.12,172.76448430493272,48872.38,38388.64257847534,0.25050100200400804,56.57,255.160501002004,48928.95,pgBouncer M,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-035013,summary_json_median,,,,,
pgbouncer-prod-20260531-053010,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,8,True,2.456065932864907,2.456065932864907,8.52759657050036,10.983662503365267,10.62868423724331,14883,3328,11555,0.7763891688503662,SQLTransientConnectionException:11555,28508.159,60030.975,60030.975,64962.559,6.82,9.76,122.38000000000001,249.63,173.9345890410959,51433.84,40924.83347031963,0.3002253380070105,56.19,256.750225338007,51490.03,pgBouncer N,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-053010,summary_json_median,,,,,
pgbouncer-prod-20260531-071044,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,8,True,2.568242938069921,2.568242938069921,8.41542362724463,10.983666565314552,10.628688159219255,14883,3480,11403,0.7661761741584358,SQLTransientConnectionException:11403,28573.695,60030.975,60030.975,61816.831,4.9,10.76,138.22,247.93,168.61361990950226,48363.64,38059.63022624435,0.3001503754882699,56.21000000000001,253.13015037548828,48419.85,pgBouncer O,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-071044,summary_json_median,,,,,
pgbouncer-prod-20260531-085132,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,12,True,1.8420445040160731,1.8420445040160731,14.644107694503099,16.48615219851917,15.942247176451836,22339,2496,19843,0.8882671560947223,SQLTransientConnectionException:19843,29392.895,60030.975,60030.975,62488.575,4.89,10.739999999999998,75.13,274.77,173.54494382022472,50330.05,40676.760988764036,0.3502752377189595,56.39,280.01027523771893,50386.44,pgBouncer P,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-085132,summary_json_median,,,,,
pgbouncer-prod-20260531-103129,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,12,True,2.104038092282763,2.104038092282763,14.379930519260252,16.483968611543016,15.942276589866406,22336,2851,19485,0.8723585243553008,SQLTransientConnectionException:19485,29220.862999999998,60030.975,60030.975,65011.710999999996,4.89,10.75,125.02000000000001,252.58,174.57750566893424,51200.42,40294.34623582766,0.35017508754377186,56.67,257.82017508754376,51257.09,pgBouncer Q,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-103129,summary_json_median,,,,,
pgbouncer-prod-20260531-121130,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,12,True,2.264920903839022,2.264920903839022,14.221987541617498,16.48690844545652,15.942264824526625,22340,3069,19271,0.8626230975828111,SQLTransientConnectionException:19271,29220.862999999998,60030.975,60030.975,61079.551,4.89,9.77,86.22999999999999,250.35,176.17537414965986,50109.93,39015.99643990929,0.3503754881947734,56.36,255.59037548819475,50166.29,pgBouncer R,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-121130,summary_json_median,,,,,
pgbouncer-prod-20260531-135123,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,12,True,2.1497964593671495,2.1497964593671495,14.337142401690908,16.486938861058057,15.942294237984608,22340,2913,19427,0.8696060877350045,SQLTransientConnectionException:19427,29392.894999999997,60030.975,60030.975,65175.55099999999,5.859999999999999,8.8,157.09000000000003,287.6,171.52545454545455,50284.59,40247.687613636364,0.35035035035035034,56.51,293.8103503503504,50341.1,pgBouncer S,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-135123,summary_json_median,,,,,
pgbouncer-prod-20260531-153153,pgbouncer-prod,2,2,PGBOUNCER,W5_HTAP,open-loop,12,True,2.531341919310825,2.531341919310825,13.955590853180478,16.486932772491304,15.942288355293012,22340,3430,18910,0.8464637421665174,SQLTransientConnectionException:18910,29130.751,60030.975,60030.975,61308.926999999996,5.85,10.75,92.58000000000001,243.06,175.44815489749428,49336.36,40343.45601366742,0.35035035035035034,56.32000000000001,249.26035035035034,49392.68,pgBouncer T,/Users/Stanzani/Development/stressar-results/results/pgbouncer-prod-20260531-153153,summary_json_median,,,,,
